WP5,wgt,PROJWT,FIELD_DATE,YEAR_CALENDAR,Q1,Q2,Q3,Q4,Q5A,Q5B,Q5C,Q6,Q7,Q8,Q9,Q10A,Q10B,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q12,Q13,Q14A,Q14B,Q15A,Q15B,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,D1,Q29,Q30,WGM_Index,WGM_Indexr,ViewOfScience,Age,AgeCategories,Gender,Education,Urban_Rural,Household_Income,Regions_Report,Subjective_Income,WBI,EMP_2010
12,1.7190299949,92893.6543198205,5/1/2018,2018,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,4,1,1,2,3,1,2,3,2,1,1,1,1,2,3,2,1,1,1,1,1,1,1,2, , ,3.2,2,1,20,1,1,1,2,1,15,1,4,1
12,0.3259340074,17612.9567838333,5/1/2018,2018,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,3,4,1,1,3,3,2,3,2,1,1,3,3,2,1,1,1,2,2,1,1,2, , ,3,2,2,39,2,2,3,2,4,15,1,4,1
12,0.7058479,38142.9009507017,5/1/2018,2018,3,3,1,2,1,1,97,2,1,1,1,1,2,1,2,2,2,1,2,3,2,1,1,2,2,1,2,1,1,1,3,2,2,1,1,3,3,1,1,1,2, ,3.4,2,2,37,2,2,2,2,4,15,1,4,1
12,1.8284953157,98808.9866269416,5/1/2018,2018,1,1,1,2,2,1,1,2,1,98,1,2,1,2,3,2,98,1,1,4,1,1,1,2,1,2,98,98,1,2,3,2,1,1,1,2,2,2, ,1,1,1,3.6,3,99,22,1,2,2,2,5,15,2,4,1
12,0.6415092157,34666.1404993536,5/1/2018,2018,3,1,1,2,2,1,1,1,1,1,1,1,1,2,3,2,2,1,1,4,1,1,2,2,2,2,3,2,2,2,3,3,1,1,2,2,1,2, ,1,1,2,3.2,2,4,29,1,1,2,1,3,15,2,4,5
12,2.5241091423,136398.854482756,5/1/2018,2018,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,3,2,2,3,3,1,1,3,3,3,1,98,2,1,3,1,1,1,1,2,2,1,1,1,1,2,3,2,99,52,3,1,2,2,4,15,2,4,1
12,1.0394652127,56171.0513646577,5/1/2018,2018,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,2, ,1,2, ,3.4,2,1,40,2,2,3,1,2,15,1,4,6
12,0.6396608628,34566.2584401883,5/1/2018,2018,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,3,3,1,2,1,2,2,4,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,3.2,2,1,58,3,1,1,1,4,15,2,4,1
12,0.9091670782,49129.9468474666,5/1/2018,2018,3,1,1,2,1,1,97,2,1,2,2,2,1,1,1,1,3,1,2,2,2,1,1,1,2,1,1,1,1,2,3,2,1,1,3,3,3,2, ,1,2, ,3.8,3,1,72,3,1,2,2,4,15,2,4,6
12,0.777025766,41989.2399282747,5/1/2018,2018,1,1,1,2,2,1,2,2,2,1,1,98,1,1,3,2,2,2,98,98,1,1,2,2,3,4,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,2,3,49,2,1,3,1,1,15,2,4,1
12,0.6111304912,33024.5224130525,5/1/2018,2018,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,3,2,1,2,3,3,4,1,1,98,2,3,2,1,1,1,1,2,2, ,1,1,2,3,2,1,27,1,1,3,1,4,15,1,4,6
12,2.7427429735,148213.479940412,5/1/2018,2018,3,3,1,2,1,1,2,2,2,1,1,2,1,2,4,4,3,2,4,3,1,1,3,3,3,3,1,1,1,2,3,3,4,1,3,3,3,2, ,2, , ,2.2,1,1,20,1,2,2,1,3,15,2,4,4
12,0.9419950314,50903.9173721297,5/1/2018,2018,2,2,1,2,1,1,1,2,1,2,2,98,1,1,98,1,98,1,3,3,1,1,2,2,2,2,1,1,1,1,3,1,2,1,1,2,1,1,1,1,2, ,3.4,2,1,57,3,1,3,1,5,15,1,4,2
12,0.6929768084,37447.3675764385,5/1/2018,2018,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,2,3.6,3,1,44,2,2,3,2,1,15,1,4,1
12,0.3654655086,19749.1764069428,5/1/2018,2018,1,1,1,2,1,1,1,1,1,1,98,1,1,3,3,1,3,2,1,99,1,3,3,2,3,3,3,2,1,2,3,2,1,1,4,5,4,1,2,1,1,2,2.6,2,4,53,3,1,3,2,4,15,2,4,1
12,2.956532057,159766.302912393,5/1/2018,2018,3,2,1,98,1,1,97,1,1,1,1,98,1,2,4,2,2,2,4,4,2,2,2,2,2,2,2,1,1,1,3,2,2,1,1,1,1,1,1,1,1,2,3,2,2,72,3,1,1,1,1,15,3,4,6
12,0.6929768084,37447.3675764385,5/1/2018,2018,2,2,1,2,1,1,2,2,2,1,1,1,1,2,3,2,2,1,1,4,2,2,2,1,2,1,1,1,1,1,3,2,1,1,1,3,3,1,1,1,98, ,3.2,2,1,37,2,2,3,1,1,15,2,4,6
12,1.6328276655,88235.4171653984,5/1/2018,2018,2,2,1,1,1,1,2,1,1,1,1,1,1,2,99,1,1,1,2,3,2,1,2,2,2,1,2,1,1,1,3,1,2,1,2,2,2,2, ,2, , ,3.4,2,2,49,2,1,2,2,5,15,1,4,1
12,2.0399995084,110238.337728168,5/1/2018,2018,2,2,2,2,2,1,2,2,2,1,1,2,2,1,3,2,3,3,3,3,2,2,3,3,3,4,3,2,2,2,1,4,4,2, , , ,1, ,1,2, ,2.4,1,4,55,3,1,2,2,2,15,1,4,1
12,0.3259340074,17612.9567838333,5/1/2018,2018,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,4,1,2,3,1,2,3,2,3,3,3,98,1,1,3,3,2,1,1,2,1,1,1,1,1,2,2.8,2,99,44,2,2,3,2,4,15,2,4,1
12,2.956532057,159766.302912393,5/1/2018,2018,2,1,1,2,1,1,2,2,1,1,1,98,1,1,2,2,3,1,2,3,1,2,2,2,1,2,2,1,1,1,3,2,1,1,4,4,3,2, ,2, , ,3.2,2,2,20,1,2,2,2,3,15,2,4,6
12,0.6481734381,35026.2645086193,5/1/2018,2018,2,1,1,2,1,1,1,2,1,1,2,1,1,1,4,2,4,1,2,1,1,1,1,3,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2, ,3.4,2,1,60,3,2,3,2,3,15,2,4,6
12,1.3659955358,73816.2321081645,5/1/2018,2018,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,3,2,1,1,2,2,2,2, ,1,2, ,3.8,3,2,26,1,2,2,1,4,15,1,4,2
12,1.3659955358,73816.2321081645,5/1/2018,2018,2,2,1,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,3,2,2,1,1,2,2,1,1,1,1,1,3.6,3,1,27,1,2,1,1,1,15,2,4,1
12,0.6279966876,33935.9449147532,5/1/2018,2018,4,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,2,4,4,3,1,3,3,3,2,1,1,2,3,2,1,1,1,1,1,2, ,1,1,1,2.8,2,2,59,3,1,3,2,5,15,2,4,3
12,0.7058479,38142.9009507017,5/1/2018,2018,2,2,1,2,1,1,2,1,2,1,1,1,1,1,3,1,98,2,1,2,1,1,1,2,2,2,1,1,1,98,3,2,1,1,1,99,99,1,1,1,2, ,3.6,3,1,38,2,2,2,1,5,15,1,4,1
12,0.4076027437,22026.2057596922,5/1/2018,2018,2,2,1,2,1,1,1,1,1,1,1,98,2,1,2,2,2,1,3,2,1,2,1,2,2,3,3,1,1,1,3,1,1,1,1,1,1,1,1,2, , ,3.2,2,2,70,3,2,3,1,5,15,2,4,6
12,1.4077508579,76072.6234826498,5/1/2018,2018,3,2,1,2,1,1,2,2,1,2,2,1,1,2,3,2,3,2,2,3,2,2,1,2,2,2,2,1,1,1,3,1,1,1,2,3,3,1,1,2, , ,3.2,2,2,32,2,2,2,1,1,15,2,4,3
12,1.3620597517,73603.5485744169,5/1/2018,2018,1,3,1,98,1,1,1,2,1,1,2,1,1,2,3,2,1,1,3,4,2,1,2,2,2,1,2,2,1,3,3,2,2,1,1,1,1,1,1,1,1,2,3.2,2,3,60,3,2,2,1,1,15,3,4,1
12,0.6307653519,34085.5591384324,5/1/2018,2018,4,4,98,98,1,1,2,2,1,2,1,2,1,4,2,98,2,1,1,98,2,2,3,2,1,2,2,1,2,98,3,3,2,2, , , ,1, ,1,98, ,3,2,2,33,2,2,3,1,2,15,2,4,1
12,2.956532057,159766.302912393,5/1/2018,2018,3,2,1,2,1,1,97,2,1,2,1,1,1,1,3,1,3,1,1,3,2,2,1,2,2,3,2,1,1,1,3,2,2,1,1,2,2,2, ,1,2, ,3.4,2,2,18,1,2,2,1,3,15,1,4,3
12,0.9419950314,50903.9173721297,5/1/2018,2018,2,1,1,2,1,1,2,2,1,1,2,1,1,2,4,1,3,1,1,4,1,1,1,1,3,98,98,1,1,3,3,1,1,1,1,1,1,1,1,2, , ,3.6,3,99,61,3,1,3,2,4,15,1,4,1
12,1.165538649,62983.8598924121,5/1/2018,2018,2,1,1,2,2,1,2,1,1,1,2,1,1,1,3,2,2,2,1,2,1,1,1,2,2,3,2,1,1,1,5,2,2,1,3,2,2,1,1,2, , ,3.4,2,2,45,2,1,3,2,3,15,1,4,3
12,0.8019906349,43338.3018489122,5/1/2018,2018,2,2,1,2,1,1,1,1,1,1,1,1,1,3,2,2,2,1,3,4,1,1,2,2,2,2,1,1,1,98,3,2,2,1,1,2,1,2, ,2, , ,3.2,2,1,52,3,2,3,2,1,15,2,4,3
12,0.8396383106,45372.7225275738,5/1/2018,2018,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,4,2,2,2,2,2,2,2,2,1,1,3,1,1,1,1,1,1,2, ,2, , ,3.2,2,3,69,3,1,3,1,4,15,1,4,6
12,0.8827110219,47700.3035278476,5/1/2018,2018,3,1,98,2,1,1,2,2,2,2,1,2,2,2,2,2,3,2,4,2,2,2,1,1,2,2,2,98,1,1,3,2,2,2, , , ,1, ,1,2, ,3.4,2,99,73,3,2,2,1,3,15,1,4,6
12,1.4108789493,76241.6605840313,5/1/2018,2018,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,2,2,4,2,3,2,2,2,3,2,1,1,1,3,2,2,1,1,1,1,1,1,1,2, ,2.8,2,2,37,2,1,2,2,2,15,2,4,1
12,0.3057421575,16521.8212416622,5/1/2018,2018,2,1,1,2,1,1,1,1,1,1,1,1,1,3,4,1,2,1,1,2,1,1,2,2,2,3,1,1,1,1,3,2,1,1,1,1,1,2, ,1,1,1,3.4,2,1,31,2,1,3,1,3,15,1,4,1
12,0.7539783916,40743.7963710802,5/1/2018,2018,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2, ,1,1,1,3.8,3,1,53,3,1,3,1,4,15,3,4,6
12,2.956532057,159766.302912393,5/1/2018,2018,2,2,2,2,2,1,1,2,1,1,1,1,1,3,3,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,3,1,1,1,2,2,5,1,1,1,2, ,3.6,3,1,53,3,1,2,1,4,15,1,4,2
12,0.6838758226,36955.5647372379,5/1/2018,2018,3,3,2,2,2,2,2,2,2,2,1,1,2,4,4,4,4,2,4,2,4,4,98,4,4,4,2,2,2,2,5,2,3,1,3,3,3,2, ,1,2, ,1,1,3,39,2,1,2,1,5,15,2,4,2
12,0.6514908238,35205.5307678304,5/1/2018,2018,1,1,1,2,2,1,1,1,1,2,1,1,1,2,4,1,2,1,2,2,1,1,1,2,2,2,1,1,1,2,3,2,1,1,1,2,1,1,1,2, , ,3.6,3,1,38,2,1,3,2,3,15,2,4,1
12,1.8767549655,101416.861554703,5/1/2018,2018,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,4,3,2,3,3,3,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2, ,2.6,2,1,75,3,2,1,1,3,15,2,4,6
12,0.3157881286,17064.6895861536,5/1/2018,2018,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,4,1,1,2,2,2,4,1,1,1,1,3,2,1,1,1,2,2,1,1,1,1,1,3.4,2,1,42,2,1,3,1,2,15,1,4,6
12,1.7742602851,95878.2115998713,5/1/2018,2018,2,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,3,1,1,1,1,1,1,2, ,2, , ,3.8,3,1,21,1,2,2,1,3,15,2,4,3
12,0.3157881286,17064.6895861536,5/1/2018,2018,3,1,1,2,2,1,1,1,2,2,2,1,1,2,3,2,2,1,2,98,2,2,2,1,1,4,2,2,1,2,3,2,1,1,1,2,2,2, ,2, , ,3.4,2,3,35,2,1,3,1,5,15,2,4,1
12,0.7018473829,37926.7193527563,5/1/2018,2018,98,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,3,2,1,1,1,2,3,1,1,1,1,2,1,2, ,1,1,1,3,2,1,60,3,2,2,1,4,15,2,4,3
12,1.2615307037,68171.1182768648,5/1/2018,2018,2,3,1,2,2,1,2,2,1,2,2,2,1,4,4,1,3,1,1,98,1,1,2,2,2,3,3,2,2,2,3,4,1,98, , , ,2, ,1,98, ,3.4,2,4,32,2,2,3,1,1,15,3,4,1
12,0.7539783916,40743.7963710802,5/1/2018,2018,2,2,1,2,2,1,1,2,1,2,1,2,98,1,4,3,4,3,1,98,1,3,3,3,3,2,3,1,1,3,3,2,2,1,1,2,1,1,1,1,1,98,2,1,2,51,3,1,3,1,5,15,1,4,2
12,1.3659955358,73816.2321081645,5/1/2018,2018,2,2,1,2,1,1,2,2,1,2,2,2,2,3,4,1,3,2,3,4,2,2,2,3,2,2,2,1,1,2,3,3,4,1,1,2,2,2, ,2, , ,3,2,2,33,2,2,2,2,1,15,3,4,4
12,0.3772074596,20383.692818768,5/1/2018,2018,4,3,98,98,98,1,2,2,2,1,1,1,1,1,3,2,1,2,1,4,1,2,1,2,1,1,1,1,1,98,3,2,1,1,1,2,2,1,1,1,1,2,3.4,2,1,51,3,2,3,1,3,15,3,4,6
12,0.8019906349,43338.3018489122,5/1/2018,2018,2,3,1,1,1,1,2,2,2,2,1,1,1,2,2,2,3,3,2,2,2,3,2,2,2,2,2,98,98,98,3,1,2,1,2,2,2,1,1,1,98, ,2.8,2,99,54,3,2,3,2,2,15,1,4,1
12,1.5079567831,81487.5927421603,5/1/2018,2018,2,1,1,2,1,1,1,2,2,1,1,1,2,1,3,2,4,1,1,2,1,1,3,98,3,3,2,2,98,1,3,3,1,1,1,4,2,1,1,1,2, ,2.75,2,3,52,3,1,3,2,5,15,2,4,1
12,1.8183341564,98259.8936949333,5/1/2018,2018,2,1,1,2,1,1,1,2,2,2,1,2,1,2,3,2,3,1,2,4,1,1,2,2,2,2,1,1,1,2,3,2,1,1,1,2,1,1,1,2, , ,3.2,2,1,72,3,1,2,1,4,15,1,4,6
12,0.8443303517,45626.2729875734,5/1/2018,2018,1,1,1,2,1,1,2,2,2,2,2,1,1,2,3,1,2,1,1,2,1,1,1,2,1,4,2,1,1,2,1,1,2,1,1,1,2,2, ,1,2, ,3.8,3,2,21,1,2,3,2,3,15,1,4,6
12,0.8019906349,43338.3018489122,5/1/2018,2018,2,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,2,1,2,3,1,1,1,2,2,2,1,1,1,98,3,1,1,1,1,2,1,2, ,1,1,1,3.6,3,1,48,2,2,3,1,5,15,1,4,1
12,0.6481734381,35026.2645086193,5/1/2018,2018,1,2,1,2,1,1,1,2,2,2,2,1,1,98,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,98,3,2,1,1,1,1,1,1,1,1,2, ,3.6,3,2,56,3,2,3,1,2,15,1,4,2
12,1.3659955358,73816.2321081645,5/1/2018,2018,3,3,1,2,1,1,98,2,1,2,2,1,1,1,2,1,4,1,1,98,1,1,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,2, ,1,2, ,3.6,3,1,33,2,2,2,1,3,15,1,4,1
12,1.7742602851,95878.2115998713,5/1/2018,2018,2,1,1,2,1,1,2,1,1,1,2,2,2,4,3,2,4,1,3,98,2,1,1,2,2,2,1,1,1,2,3,3,4,1,4,4,3,2, ,2, , ,3.4,2,1,21,1,2,2,1,1,15,3,4,4
12,0.3057421575,16521.8212416622,5/1/2018,2018,2,1,1,2,1,1,2,2,1,2,1,98,1,2,4,2,3,2,2,2,2,2,2,3,2,2,2,1,1,1,2,2,2,1,2,3,2,1,1,1,1,2,2.8,2,2,29,1,1,3,2,1,15,2,4,1
12,0.6396608628,34566.2584401883,5/1/2018,2018,2,1,1,2,2,1,97,1,2,1,1,2,1,1,1,1,2,1,3,4,1,1,2,2,2,2,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2, ,3.4,2,1,55,3,1,2,2,2,15,3,4,1
12,1.3620597517,73603.5485744169,5/1/2018,2018,1,1,1,98,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,4,1,1,1,1,2,1,1,1,1,98,3,1,1,1,1,1,1,1,1,1,2, ,3.8,3,1,59,3,2,2,1,3,15,3,4,1
12,0.3057421575,16521.8212416622,5/1/2018,2018,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,4,1,1,1,1,2,2,1,1,2,1,3,2,1,1,1,1,1,1,1,2, , ,3.8,3,1,60,3,1,3,2,3,15,2,4,6
12,0.7018473829,37926.7193527563,5/1/2018,2018,2,2,1,2,1,1,2,1,1,2,2,1,1,2,4,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,3,3,1,1,1,2,1,1,1,1,1,1,3.4,2,2,57,3,2,2,1,4,15,2,4,1
12,0.7058479,38142.9009507017,5/1/2018,2018,3,1,1,2,1,1,97,1,1,1,1,2,1,1,3,1,4,1,1,2,1,1,1,1,3,3,1,1,1,1,3,2,1,1,1,2,2,1,1,1,2, ,3.6,3,1,35,2,2,1,1,3,15,2,4,5
12,0.6621201069,35779.9203668395,5/1/2018,2018,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,4,2,1,2,2,2,2,2,1,1,1,3,1,1,1,1,1,1,2, ,2, , ,3.2,2,2,33,2,2,2,1,4,15,3,4,6
12,0.7914579514,42769.1323378132,5/1/2018,2018,2,1,1,2,2,1,2,2,1,1,1,1,1,1,4,1,4,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3.6,3,1,54,3,1,2,1,5,15,2,4,1
12,0.6602123687,35676.8292216606,5/1/2018,2018,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,4,1,1,2,1,1,1,1,3,3,1,1,1,2,3,4,1,1,1,2,1,1,1,2, , ,3.6,3,1,59,3,2,2,1,4,15,2,4,1
12,1.3659955358,73816.2321081645,5/1/2018,2018,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,4,3,1,34,2,2,2,1,2,15,2,4,6
12,0.7937833845,42894.7950535276,5/1/2018,2018,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,3,1,1,2,2,3,3,2,1,1,2,3,1,1,1,1,1,1,2, ,2, , ,3.2,2,2,20,1,1,3,2,2,15,1,4,6
12,1.3620597517,73603.5485744169,5/1/2018,2018,2,3,1,98,1,2,1,2,2,2,2,2,2,2,4,98,98,2,98,4,3,3,3,3,3,4,3,1,1,98,3,3,3,1,1,1,1,1,1,1,2, ,2,1,2,59,3,2,2,2,3,15,3,4,1
12,0.6307653519,34085.5591384324,5/1/2018,2018,3,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2, ,1,2, ,3.8,3,1,27,1,2,3,2,2,15,1,4,1
12,1.3659955358,73816.2321081645,5/1/2018,2018,2,2,1,2,1,1,97,2,2,2,1,1,1,2,2,2,4,1,1,2,2,2,2,2,2,2,1,2,2,3,3,1,1,1,1,2,1,1,1,1,1,2,3,2,3,33,2,2,2,1,3,15,2,4,1
12,0.8396383106,45372.7225275738,5/1/2018,2018,1,1,1,2,1,1,1,2,1,2,1,2,1,98,2,98,3,1,99,1,1,1,99,2,2,2,1,1,1,2,3,2,1,1,1,3,3,1,1,99, , ,3.3333333333,2,1,67,3,1,3,1,4,15,1,4,6
12,1.2029859524,65007.4527733684,5/1/2018,2018,3,1,1,2,2,1,2,2,2,2,2,1,1,1,3,1,1,1,1,3,1,2,1,3,1,3,2,2,1,3,3,2,1,1,1,2,1,2, ,2, , ,3.4,2,3,53,3,2,3,1,2,15,1,4,3
12,0.6724224116,36336.6405720526,5/1/2018,2018,3,1,1,2,1,1,2,2,2,1,1,1,1,2,4,1,3,1,1,4,1,1,1,1,2,2,2,1,1,98,3,2,1,1,1,1,1,1,1,2, , ,3.8,3,2,44,2,2,3,2,2,15,1,4,3
12,0.6307653519,34085.5591384324,5/1/2018,2018,3,1,1,2,1,1,2,1,1,2,2,2,2,4,4,2,4,2,2,2,2,3,2,3,4,4,2,1,2,2,3,3,2,1,4,4,3,2, ,2, , ,2.2,1,2,26,1,2,3,1,4,15,2,4,1
12,0.8827110219,47700.3035278476,5/1/2018,2018,3,2,1,2,2,1,2,2,2,2,1,1,1,2,3,3,3,1,2,3,2,3,2,2,2,2,3,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2.6,2,2,72,3,2,2,1,1,15,2,4,6
12,0.9383774827,50708.4307773515,5/1/2018,2018,4,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,98,1,1,2,2,2,3,1,1,1,98,3,1,1,1,1,1,1,1,1,1,1,1,3.4,2,1,84,3,2,2,2,4,15,1,4,6
12,0.4333074213,23415.2457625556,5/1/2018,2018,2,1,1,2,1,1,1,2,1,1,1,98,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,1,2,2,1,1,2, , ,3,2,2,70,3,2,3,1,2,15,2,4,6
12,0.6799998361,36746.112576056,5/1/2018,2018,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,4,1,1,4,98,2,2,4,1,1,3,1,1,2,3,2,2,1,1,1,1,2, ,1,2, ,2.8,2,2,60,3,1,2,2,1,15,3,4,4
12,0.7270031267,39286.0958467934,5/1/2018,2018,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,3,2,1,2, , , ,2, ,1,2, ,3,2,2,44,2,1,2,1,5,15,3,4,4
12,0.7270031267,39286.0958467934,5/1/2018,2018,3,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2, ,2, , ,3.8,3,1,42,2,1,2,1,4,15,3,4,6
12,0.8396383106,45372.7225275738,5/1/2018,2018,2,2,1,2,1,1,1,1,2,2,2,2,1,3,1,1,3,1,3,3,2,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2, , ,3.6,3,1,73,3,1,3,1,1,15,2,4,6
12,0.8332416133,45027.0551506553,5/1/2018,2018,2,2,1,2,1,1,97,1,1,1,1,2,2,4,4,4,4,2,2,4,3,2,2,2,2,2,3,98,2,1,3,3,2,1,2,4,1,2, ,1,1,97,2.6,2,99,23,1,1,2,1,2,15,3,4,1
12,1.7742602851,95878.2115998713,5/1/2018,2018,2,2,1,1,1,1,97,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,5,2,2,1,1,2,2,1,2,1,1,2,3.2,2,2,24,1,2,1,1,2,15,2,4,1
12,0.6714053905,36281.6823633535,5/1/2018,2018,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3.6,3,1,42,2,1,3,1,3,15,2,4,1
